Four Runs Scored at 00969,Verified
Four Runs Scored at 01172,Wrong
Four Runs Scored at 01698,Verified
Four Runs Scored at 01737,Verified
Six Runs Scored at 02104,Verified
Six Runs Scored at 02369,Verified
Six Runs Scored at 02553,Verified
Six Runs Scored at 02602,Verified
Six Runs Scored at 02638,Verified
Four Runs Scored at 03116,Verified
Four Runs Scored at 03162,Verified
Four Runs Scored at 03193,Verified
Six Runs Scored at 03228,Verified
1Wicket Taken at 04202,Verified
Four Runs Scored at 04864,Verified
Four Runs Scored at 05098,Verified
2Wicket Taken at 05459,Verified
Four Runs Scored at 05911,Verified
Four Runs Scored at 06113,Verified
Four Runs Scored at 06591,Verified
Four Runs Scored at 07125,Verified
Four Runs Scored at 07384,Verified
3Wicket Taken at 07615,Verified
Four Runs Scored at 07897,Verified
Four Runs Scored at 08131,Verified
Four Runs Scored at 08191,Verified
Four Runs Scored at 08342,Verified
Four Runs Scored at 08621,Verified
Six Runs Scored at 08853,Verified
Six Runs Scored at 09349,Verified
Four Runs Scored at 09791,Verified
Six Runs Scored at 09864,Verified
Four Runs Scored at 10211,Verified
Six Runs Scored at 10254,Verified
Six Runs Scored at 10520,Verified
Six Runs Scored at 11162,Verified
Six Runs Scored at 11500,Verified
Four Runs Scored at 11536,Verified
Four Runs Scored at 11581,Verified
Six Runs Scored at 11690,Verified
Four Runs Scored at 11766,Verified
Four Runs Scored at 11809,Verified
Six Runs Scored at 11861,Verified
Four Runs Scored at 12066,Verified
Four Runs Scored at 12126,Verified
Six Runs Scored at 12187,Verified
Four Runs Scored at 12233,Verified
Four Runs Scored at 12277,Verified
Six Runs Scored at 12494,Verified
Six Runs Scored at 12536,Verified
Four Runs Scored at 12703,Verified
Six Runs Scored at 13101,Verified
Six Runs Scored at 13324,Verified
Six Runs Scored at 13421,Verified
4Wicket Taken at 13536,Verified
1Wicket Taken at 16685,Verified
2Wicket Taken at 16691,Verified
Six Runs Scored at 16999,Verified
Six Runs Scored at 17038,Verified
Four Runs Scored at 17093,Verified
Four Runs Scored at 17129,Verified
Six Runs Scored at 17703,Verified
Four Runs Scored at 18250,Verified
Four Runs Scored at 18400,
Six Runs Scored at 18434,
Six Runs Scored at 18466,
Four Runs Scored at 18526,
Four Runs Scored at 19299,
Four Runs Scored at 19332,
Four Runs Scored at 19566,
Four Runs Scored at 19625,
Six Runs Scored at 19939,
Six Runs Scored at 20246,
Six Runs Scored at 20406,
Four Runs Scored at 21080,
Six Runs Scored at 21194,
Six Runs Scored at 21291,
Six Runs Scored at 21326,
Six Runs Scored at 21570,
Six Runs Scored at 21642,
3Wicket Taken at 21781,
Six Runs Scored at 21924,
4Wicket Taken at 21957,
Four Runs Scored at 22124,
Four Runs Scored at 23094,
Four Runs Scored at 23234,
Four Runs Scored at 23679,
Four Runs Scored at 24096,
Four Runs Scored at 24204,
Six Runs Scored at 24233,
Six Runs Scored at 24269,
5Wicket Taken at 25144,
Four Runs Scored at 25383,
6Wicket Taken at 25641,
Four Runs Scored at 25909,
Four Runs Scored at 25946,
Four Runs Scored at 26777,
Four Runs Scored at 27111,
Six Runs Scored at 27256,
Six Runs Scored at 27333,
Four Runs Scored at 27883,
Four Runs Scored at 27970,
Four Runs Scored at 28104,
7Wicket Taken at 28571,
8Wicket Taken at 28627,
9Wicket Taken at 28768,
